0,0,-0,0,195.64,879.61,1
3.99725,0.13987,0.08798,0,196.26,879.22,1
31.97797,37.25784,-12.7667,0,360.79,936.2,1
81.44389,91.38605,-13.53826,0,600.72,939.62,1
83.94217,95.3521,-12.76896,0,618.3,936.21,1
92.43632,101.7253,-8.20958,0,646.55,916,1
98.93184,108.931,-6.18144,0,678.49,907.01,1
101.9298,112.6646,-3.83971,0,695.04,896.63,1
182.3744,222.5454,-10.72277,0,1182.1,927.14,1
196.3647,240.8867,-10.94611,0,1263.4,928.13,1
198.3633,245.6468,-7.80802,0,1284.5,914.22,1
200.8616,247.9254,-2.95762,0,1294.6,892.72,1
239.8348,250.9484,58.8816,0,1308,618.61,1
276.3763,253.3623,103.4489,0,1318.7,421.06,1
279.3742,251.2868,105.3981,0,1309.5,412.42,1
294.8635,228.0049,107.3901,0,1206.3,403.59,1
296.3625,226.6062,106.8938,0,1200.1,405.79,1
298.3611,226.4031,105.0145,0,1199.2,414.12,1
309.8532,226.0196,91.18075,0,1197.5,475.44,1
337.3343,225.1849,59.8043,0,1193.8,614.52,1
360.4517,225.1398,40.12296,0,1193.6,701.76,1
368.4462,223.6734,10.44754,0,1187.1,833.3,1
380.4379,222.8838,-7.38163,0,1183.6,912.33,1
385.4345,223.4703,-7.60272,0,1186.2,913.31,1
