0.253138,60.18688,24.82182,65,3.669347,10
6.25841,60.18688,24.82182,65,3.634729,10
15.50647,60.18689,24.82175,65,3.156658,10
21.51282,60.18689,24.82174,65,3.044948,10
36.51508,60.18689,24.82175,65,2.983923,10
51.5199,60.18689,24.82175,65,2.948743,10
66.52504,60.18689,24.82175,65,2.928083,10
76.20748,60.18689,24.82175,65,2.916978,10
83.70254,60.18689,24.82175,65,2.910602,10
98.70317,60.18689,24.82175,65,2.905831,10
106.1862,60.18689,24.82175,65,2.903181,10
121.1912,60.18689,24.82175,65,2.90123,10
133.6634,60.18689,24.82175,65,2.900034,10
