0,0,-0,0,2122.586,629.0159,3
4.00026,-0.03271,-0.00678,0,2122.26,629.0834,3
6.50046,-0.04648,0.01455,0,2122.123,628.8708,3
8.50062,-1.31037,-0.52234,0,2109.522,634.2237,3
10.50079,-2.36545,-0.86087,0,2099.003,637.5989,3
13.50103,-2.33933,-0.8699,0,2099.263,637.6888,3
17.00131,-2.35569,-0.85354,0,2099.1,637.5258,3
26.00204,-2.35282,-0.87153,5.6,2099.128,637.7051,4
27.00212,-2.35569,-0.85354,5.6,2099.1,637.5258,4
36.50289,-2.36625,-0.85409,5.6,2098.995,637.5312,4
41.50329,-2.32864,-0.87441,10.13,2099.37,637.7338,5
42.00333,-2.37516,-0.83719,10.13,2098.906,637.3627,5
50.50402,-2.30553,-0.86937,10.13,2099.6,637.6836,5
57.50458,-2.3487,-0.85354,14.65,2099.17,637.5258,6
66.00123,-2.33608,-0.87141,14.65,2099.295,637.7039,6
73.50015,-2.3261,-0.85354,19.17,2099.395,637.5258,7
81.50079,-2.35757,-0.83218,19.17,2099.081,637.3128,7
86.5012,-2.3752,-0.83723,23.63,2098.905,637.3631,8
88.50136,-2.40162,-0.8473,23.63,2098.642,637.4635,8
89.0014,-2.34084,-0.85711,23.63,2099.248,637.5613,8
90.50152,-0.25742,-0.57583,23.63,2120.02,634.757,8
93.50176,0.11751,0.78803,23.63,2123.758,621.1592,8
94.0018,0.04236,0.86979,23.63,2123.009,620.344,8
